"id","description","last_updated"
"336937","Pork steak or cutlet, breaded or floured, fried, lean only eaten","2019-04-01"
"336938","Pork, tenderloin, cooked, NS as to cooking method","2019-04-01"
"336939","Pork, tenderloin, breaded, fried","2019-04-01"
"336940","Pork, tenderloin, braised","2019-04-01"
"336941","Pork, tenderloin, baked","2019-04-01"
"336942","Pork, tenderloin, battered, fried","2019-04-01"
"336949","Ham, fresh, cooked, NS as to fat eaten","2019-04-01"
"336950","Ham, fresh, cooked, lean and fat eaten","2019-04-01"
"336951","Ham, fresh, cooked, lean only eaten","2019-04-01"
"336960","Pork roast, NS as to cut, cooked, NS as to fat eaten","2019-04-01"
"336961","Pork roast, NS as to cut, cooked, lean and fat eaten","2019-04-01"
"336962","Pork roast, NS as to cut, cooked, lean only eaten","2019-04-01"
"336963","Pork roast, loin, cooked, NS as to fat eaten","2019-04-01"
"336964","Pork roast, loin, cooked, lean and fat eaten","2019-04-01"
"336965","Pork roast, loin, cooked, lean only eaten","2019-04-01"
"336966","Fried pork chunks, Puerto Rican style (Carne de cerdo frita, masitas fritas)","2019-04-01"
"336967","Pork roast, shoulder, cooked, NS as to fat eaten","2019-04-01"
"336968","Pork roast, shoulder, cooked, lean and fat eaten","2019-04-01"
"336969","Pork roast, shoulder, cooked, lean only eaten","2019-04-01"
"336984","Pork, spareribs, cooked, NS as to fat eaten","2019-04-01"
"336985","Pork, spareribs, cooked, lean and fat eaten","2019-04-01"
"336986","Pork, spareribs, cooked, lean only eaten","2019-04-01"
"336987","Pork, spareribs, barbecued, with sauce, NS as to fat eaten","2019-04-01"
"336988","Pork, spareribs, barbecued, with sauce, lean and fat eaten","2019-04-01"
"336989","Pork, spareribs, barbecued, with sauce, lean only eaten","2019-04-01"
"336990","Pork, cracklings, cooked","2019-04-01"
"336991","Pork ears, tail, head, snout, miscellaneous parts, cooked","2019-04-01"
"336992","Pork, neck bones, cooked","2019-04-01"
"336993","Pork, pig's feet, cooked","2019-04-01"
"336994","Pork, pig's feet, pickled","2019-04-01"
"336995","Pork, pig's hocks, cooked","2019-04-01"
"336996","Pork skin, rinds, deep-fried","2019-04-01"
"336997","Pork skin, boiled","2019-04-01"
"337000","Lamb, NS as to cut, cooked","2019-04-01"
"337001","Lamb chop, NS as to cut, cooked, NS as to fat eaten","2019-04-01"
"337002","Lamb chop, NS as to cut, cooked, lean and fat eaten","2019-04-01"
"337003","Lamb chop, NS as to cut, cooked, lean only eaten","2019-04-01"
"337004","Lamb, loin chop, cooked, NS as to fat eaten","2019-04-01"
"337005","Lamb, loin chop, cooked, lean and fat eaten","2019-04-01"
"337006","Lamb, loin chop, cooked, lean only eaten","2019-04-01"
"337007","Lamb, shoulder chop, cooked, NS as to fat eaten","2019-04-01"
"337008","Lamb, shoulder chop, cooked, lean and fat eaten","2019-04-01"
"337009","Lamb, shoulder chop, cooked, lean only eaten","2019-04-01"
"337010","Lamb, ribs, cooked, lean only eaten","2019-04-01"
"337011","Lamb, ribs, cooked, NS as to fat eaten","2019-04-01"
"337012","Lamb, ribs, cooked, lean and fat eaten","2019-04-01"
"337013","Lamb hocks, cooked","2019-04-01"
"337014","Lamb, roast, cooked, NS as to fat eaten","2019-04-01"
"337015","Lamb, roast, cooked, lean and fat eaten","2019-04-01"
"337016","Lamb, roast, cooked, lean only eaten","2019-04-01"
"337017","Lamb, ground or patty, cooked","2019-04-01"
"337018","Goat, boiled","2019-04-01"
"337019","Goat, fried","2019-04-01"
"337020","Goat, baked","2019-04-01"
"337021","Goat head, cooked","2019-04-01"
"337022","Goat ribs, cooked","2019-04-01"
"337023","Veal, NS as to cut, cooked, NS as to fat eaten","2019-04-01"
"337024","Veal, NS as to cut, cooked, lean and fat eaten","2019-04-01"
"337025","Veal, NS as to cut, cooked, lean only eaten","2019-04-01"
"337026","Veal chop, NS as to cooking method, NS as to fat eaten","2019-04-01"
"337027","Veal chop, NS as to cooking method, lean and fat eaten","2019-04-01"
"337028","Veal chop, NS as to cooking method, lean only eaten","2019-04-01"
"337029","Veal chop, fried, NS as to fat eaten","2019-04-01"
"337030","Veal chop, fried, lean and fat eaten","2019-04-01"
"337031","Veal chop, fried, lean only eaten","2019-04-01"
"337032","Veal chop, broiled, NS as to fat eaten","2019-04-01"
"337033","Veal chop, broiled, lean and fat eaten","2019-04-01"
"337034","Veal chop, broiled, lean only eaten","2019-04-01"
"337035","Veal cutlet or steak, NS as to cooking method, NS as to fat eaten","2019-04-01"
"337036","Veal cutlet or steak, NS as to cooking method, lean and fat eaten","2019-04-01"
"337037","Veal cutlet or steak, NS as to cooking method, lean only eaten","2019-04-01"
"337038","Veal cutlet or steak, broiled, NS as to fat eaten","2019-04-01"
"337039","Veal cutlet or steak, broiled, lean and fat eaten","2019-04-01"
"337040","Veal cutlet or steak, broiled, lean only eaten","2019-04-01"
"337041","Veal cutlet or steak, fried, NS as to fat eaten","2019-04-01"
"337042","Veal cutlet or steak, fried, lean and fat eaten","2019-04-01"
"337043","Veal cutlet or steak, fried, lean only eaten","2019-04-01"
"337044","Veal, roasted, NS as to fat eaten","2019-04-01"
"337045","Veal, roasted, lean and fat eaten","2019-04-01"
"337046","Veal, roasted, lean only eaten","2019-04-01"
"337047","Veal, ground or patty, cooked","2019-04-01"
