"fdc_id","data_type","description","food_category_id","publication_date"
"336759","survey_fndds_food","Cheese, cottage, lowfat (1-2% fat)","","2019-04-01"
"336760","survey_fndds_food","Cheese, cottage, lowfat, with fruit","","2019-04-01"
"336761","survey_fndds_food","Cheese, cottage, lowfat, with vegetables","","2019-04-01"
"336762","survey_fndds_food","Cheese, cottage, lowfat, low sodium","","2019-04-01"
"336763","survey_fndds_food","Cheese, cottage, lowfat, lactose reduced","","2019-04-01"
"336766","survey_fndds_food","Cheese, American and Swiss blends","","2019-04-01"
"336767","survey_fndds_food","Cheese, American","","2019-04-01"
"336768","survey_fndds_food","Cheese, American, reduced fat","","2019-04-01"
"336769","survey_fndds_food","Cheese, American, nonfat or fat free","","2019-04-01"
"336770","survey_fndds_food","Cheese, American, reduced sodium","","2019-04-01"
"336771","survey_fndds_food","Cheese spread, American or Cheddar cheese base, reduced fat","","2019-04-01"
"336772","survey_fndds_food","Cheese, processed cream cheese product, nonfat or fat free","","2019-04-01"
"336773","survey_fndds_food","Cheese, processed cheese food","","2019-04-01"
"336774","survey_fndds_food","Cheese, processed, with vegetables","","2019-04-01"
"336775","survey_fndds_food","Cheese,  with wine","","2019-04-01"
"336776","survey_fndds_food","Cheese spread, American or Cheddar cheese base","","2019-04-01"
"336777","survey_fndds_food","Cheese spread, Swiss cheese base","","2019-04-01"
"336780","survey_fndds_food","Cheese spread, pressurized can","","2019-04-01"
"336781","survey_fndds_food","Imitation cheese","","2019-04-01"
"336782","survey_fndds_food","Cheese, cottage cheese, with gelatin dessert","","2019-04-01"
"336783","survey_fndds_food","Cheese, cottage cheese, with gelatin dessert and fruit","","2019-04-01"
"336784","survey_fndds_food","Cheese, cottage cheese, with gelatin dessert and vegetables","","2019-04-01"
"336785","survey_fndds_food","Cheese with nuts","","2019-04-01"
"336803","survey_fndds_food","Mozzarella sticks, breaded, baked, or fried","","2019-04-01"
"336807","survey_fndds_food","Meat, NFS","","2019-04-01"
"336810","survey_fndds_food","Ground meat, NFS","","2019-04-01"
"336811","survey_fndds_food","Beef, NS as to cut, cooked, NS as to fat eaten","","2019-04-01"
"336812","survey_fndds_food","Beef, NS as to cut, cooked, lean and fat eaten","","2019-04-01"
"336813","survey_fndds_food","Beef, NS as to cut, cooked, lean only eaten","","2019-04-01"
"336814","survey_fndds_food","Steak, NS as to type of meat, cooked, NS as to fat eaten","","2019-04-01"
"336815","survey_fndds_food","Steak, NS as to type of meat, cooked, lean and fat eaten","","2019-04-01"
"336816","survey_fndds_food","Steak, NS as to type of meat, cooked, lean only eaten","","2019-04-01"
"336817","survey_fndds_food","Beef, pickled","","2019-04-01"
"336818","survey_fndds_food","Beef, NS as to cut, fried, NS to fat eaten","","2019-04-01"
"336819","survey_fndds_food","Beef steak, NS as to cooking method, NS as to fat eaten","","2019-04-01"
"336820","survey_fndds_food","Beef steak, NS as to cooking method, lean and fat eaten","","2019-04-01"
"336821","survey_fndds_food","Beef steak, NS as to cooking method, lean only eaten","","2019-04-01"
"336822","survey_fndds_food","Beef steak, broiled or baked, NS as to fat eaten","","2019-04-01"
"336823","survey_fndds_food","Beef steak, broiled or baked, lean and fat eaten","","2019-04-01"
"336824","survey_fndds_food","Beef steak, broiled or baked, lean only eaten","","2019-04-01"
"336825","survey_fndds_food","Beef steak, fried, NS as to fat eaten","","2019-04-01"
"336826","survey_fndds_food","Beef steak, fried, lean and fat eaten","","2019-04-01"
"336827","survey_fndds_food","Beef steak, fried, lean only eaten","","2019-04-01"
"336828","survey_fndds_food","Beef steak, breaded or floured, baked or fried, NS as to fat eaten","","2019-04-01"
"336829","survey_fndds_food","Beef steak, breaded or floured, baked or fried, lean and fat eaten","","2019-04-01"
"336830","survey_fndds_food","Beef steak, breaded or floured, baked or fried, lean only eaten","","2019-04-01"
"336831","survey_fndds_food","Beef steak, battered, fried, NS as to fat eaten","","2019-04-01"
"336832","survey_fndds_food","Beef steak, battered, fried, lean and fat eaten","","2019-04-01"
"336833","survey_fndds_food","Beef steak, battered, fried, lean only eaten","","2019-04-01"
"336834","survey_fndds_food","Beef steak, braised, NS as to fat eaten","","2019-04-01"
"336835","survey_fndds_food","Beef steak, braised, lean and fat eaten","","2019-04-01"
"336836","survey_fndds_food","Beef steak, braised, lean only eaten","","2019-04-01"
"336837","survey_fndds_food","Beef, oxtails, cooked","","2019-04-01"
"336838","survey_fndds_food","Beef, neck bones, cooked","","2019-04-01"
"336839","survey_fndds_food","Beef, shortribs, cooked, NS as to fat eaten","","2019-04-01"
"336840","survey_fndds_food","Beef, shortribs, cooked, lean and fat eaten","","2019-04-01"
"336841","survey_fndds_food","Beef, shortribs, cooked, lean only eaten","","2019-04-01"
"336842","survey_fndds_food","Beef, shortribs, barbecued, with sauce, NS as to fat eaten","","2019-04-01"
"336843","survey_fndds_food","Beef, shortribs, barbecued, with sauce, lean and fat eaten","","2019-04-01"
"336844","survey_fndds_food","Beef, shortribs, barbecued, with sauce, lean only eaten","","2019-04-01"
"336845","survey_fndds_food","Beef, cow head, cooked","","2019-04-01"
"336846","survey_fndds_food","Beef, roast, roasted, NS as to fat eaten","","2019-04-01"
"336847","survey_fndds_food","Beef, roast, roasted, lean and fat eaten","","2019-04-01"
"336848","survey_fndds_food","Beef, roast, roasted, lean only eaten","","2019-04-01"
"336849","survey_fndds_food","Beef, roast, canned","","2019-04-01"
"336850","survey_fndds_food","Beef, pot roast, braised or boiled, NS as to fat eaten","","2019-04-01"
"336851","survey_fndds_food","Beef, pot roast, braised or boiled, lean and fat eaten","","2019-04-01"
"336852","survey_fndds_food","Beef, pot roast, braised or boiled, lean only eaten","","2019-04-01"
"336853","survey_fndds_food","Beef, stew meat, cooked, NS as to fat eaten","","2019-04-01"
